teilweise	частично, отчасти
Staffel	сезон (сериала)
generell	общий, в целом
abonnieren	подписываться
doll	здорово, круто
dementsprechend	соответственно
beispielsweise	например
umsetzen	реализовать, осуществить
Abo	подписка
verlinken	дать ссылку
Klausur	письменный экзамен, контрольная
streamen	стримить
hochladen	загружать, выкладывать
drinne	внутри
Einatmen	вдыхать
allererste	самый первый
Ausatmen	выдыхать
Nagel	гвоздь, ноготь
Endeffekt	итог, в конечном счёте
Challenge	челлендж, испытание
Dings	штуковина
insbesondere	особенно, в особенности
einbauen	встроить
gesellschaftlich	общественный, социальный
daraufhin	затем, вслед за этим
Oberteil	верх (одежды), верхняя часть
bewerten	оценивать
währenddessen	тем временем
Blende	диафрагма, заслонка
Webseite	веб-сайт
Quatschen	болтать
zwischendurch	между делом, время от времени
spätestens	самое позднее
wirtschaftlich	экономический
Streamer	стример
schminken	краситься, наносить макияж
einblenden	показывать на экране, вставлять
nachvollziehen	понять, проследить
Döner	дёнер
Sonnencreme	солнцезащитный крем
Kasper	петрушка, шут
Horrorfilm	фильм ужасов
oha	ого
Großteil	большая часть
Fazit	вывод, итог
Dreh	съёмка, поворот
stechen	колоть, жалить
zusammenfassen	подытожить, обобщить
Einblick	представление, ознакомление
Taste	клавиша, кнопка
einigermaßen	более или менее, до некоторой степени
Review	обзор, рецензия
erkunden	исследовать, разведать
shoppen	ходить по магазинам
visuell	визуальный, зрительный
abgehen	отходить, отрываться
damalig	тогдашний
Packung	упаковка, пачка
Wechsel	смена, перемена
Branche	отрасль, сфера
auseinandersetzen	разобраться, спорить
durchschnittlich	средний, в среднем
einordnen	классифицировать, распределять
durchlesen	прочитать целиком
Obsidian	обсидиан
Ansatz	подход, начало, зачаток
kausal	причинный, каузальный
Fortsetzung	продолжение
jeweilig	соответствующий, каждый данный
labern	болтать чепуху
etablieren	утвердиться, основать
Anmachen	включать, зажигать
Kampagne	кампания
lila	лиловый, фиолетовый
First	конёк (крыши)
Rabatt	скидка
äußern	высказывать, выражать
Nachhinein	задним числом, потом
Sonnenfinsternis	солнечное затмение
aussortieren	отсортировать, отбраковать
Bewertung	оценка
Recherche	поиск информации, изыскания
hinbekommen	справиться, суметь
Inszenierung	постановка, инсценировка
Ausschnitt	фрагмент, вырез
gell	правда?, да?
Trocknen	сушка, сушить
posen	позировать
vorbeischauen	заглянуть, зайти
auftreten	выступать, появляться
überfordern	перегружать, предъявлять чрезмерные требования
vermeintlich	мнимый, предполагаемый
Pulli	пуловер, свитер
hinterfragen	ставить под вопрос, задумываться
realisieren	осознать, реализовать
Wimper	ресница
liken	лайкать
Abonnent	подписчик
bisherig	прежний, нынешний
Verfassungsschutz	ведомство по охране конституции
aufwendig	трудоёмкий, дорогостоящий
rechtlich	правовой, юридический
Hörbuch	аудиокнига
Anfassen	трогать, прикасаться
teils	отчасти, частично
Thematik	тематика
Vorlage	образец, шаблон
ausschließlich	исключительно, только
Erzählung	рассказ, повествование
grundlegend	основополагающий, коренной
ballern	палить, стрелять
recherchieren	искать информацию, исследовать
zocken	играть (в игры), играть на деньги
surfen	сёрфить, заниматься сёрфингом
Aufbau	структура, строительство
reinstecken	всунуть, вложить
sonstig	прочий, другой
Zeitraum	период, промежуток времени
hochwertig	высококачественный
Darstellung	изображение, изложение
anderthalb	полтора
Schauspiel	спектакль, пьеса
Lagerhaus	склад
casten	проводить кастинг
Bundeskanzler	федеральный канцлер
Matte	коврик, мат
christlich	христианский
anstehen	стоять в очереди, предстоять
Kante	край, кромка
mitgeben	дать с собой
Soße	соус
Leinwand	экран, полотно
einräumen	убрать, уступить, признать
zweieinhalb	два с половиной
Mus	пюре, мусс
Drumherum	всё вокруг, антураж
hypen	хайпить
fighten	драться, сражаться
Handfläche	ладонь
propagandistisch	пропагандистский
Bachelorarbeit	бакалаврская работа
Produzent	продюсер, производитель
Präsentation	презентация
Concealer	консилер
Luxus	роскошь
auswandern	эмигрировать
verbrauchen	потреблять, расходовать
Augenbraue	бровь
Darsteller	актёр, исполнитель
Messe	ярмарка, месса
Heu	сено
Üben	упражняться, тренироваться
verpacken	упаковывать
Wahrnehmung	восприятие
Sternchen	звёздочка
Voraussetzung	предпосылка, условие
Bösewicht	злодей
zugänglich	доступный
Verschwörungstheorie	теория заговора
Zyklop	циклоп
Wahrscheinlichkeit	вероятность
Ankündigung	объявление, анонс
Anbieter	поставщик, провайдер
Geheimtipp	секретный совет, находка
rechtsextrem	праворадикальный
Thumbnail	превью, миниатюра
Einkauf	покупка, закупка
Baustelle	стройка, стройплощадка
Philosoph	философ
Sonnenbrille	солнцезащитные очки
Mem	мем
Wachstum	рост
Schleife	бант, петля
Vorhersage	прогноз, предсказание
Standort	местоположение, локация
runterfallen	упасть, свалиться
unterhaltsam	развлекательный, занимательный
Leser	читатель
unmittelbar	непосредственный, прямой
nachschauen	посмотреть, проверить
aufladen	заряжать, загружать
Aufklärung	просвещение, разъяснение
joggen	бегать трусцой
drittens	в-третьих
Akku	аккумулятор
regelrecht	настоящий, прямо-таки
oberflächlich	поверхностный
Anspielung	намёк
inhaltlich	содержательный, по содержанию
selbständig	самостоятельный, независимый
Verlag	издательство
Beleg	доказательство, чек
Berichterstattung	освещение (в СМИ), репортаж
Verfilmung	экранизация
mehrfach	неоднократно, многократно
Periode	период
Klammer	скобка, скрепка
Screenshot	скриншот
Bücherregal	книжная полка
schädlich	вредный
Pinsel	кисть, кисточка
Aufruf	призыв, вызов
monatlich	ежемесячно, ежемесячный
Po	попа
Rechenschaft	отчёт, ответственность
separat	отдельный, раздельный
zuordnen	отнести, причислить
Bruch	перелом, разрыв
heizen	отапливать, топить
Verpackung	упаковка
Platte	пластина, плита, пластинка
tendenziell	как правило, в целом
ausstatten	оснастить, снабдить
weben	ткать
Hauptfigur	главный герой
Buchladen	книжный магазин
eigenständig	самостоятельный, независимый
Straftat	преступление
Doku	документалка
Entwickler	разработчик
Hinterkopf	затылок
Gag	шутка, прикол
mittendrin	в самой гуще, посередине
queer	квир, квирный
unnormal	ненормальный
Diskurs	дискурс
Anleitung	инструкция, руководство
Zielgruppe	целевая аудитория
präsent	присутствующий, наличный
Leistungskurs	профильный курс (в гимназии)
Mudschahed	моджахед
basteln	мастерить
Metal	метал
Ananas	ананас
Ausstellung	выставка
Durchschnitt	среднее, средний показатель
Matcha	матча
Anstieg	подъём, рост
Vormittag	первая половина дня, утро
urban	городской
canceln	отменять, канселить
Ruine	руина, развалины
Adel	дворянство, аристократия
hinkommen	добраться, попасть
ausführlich	подробный
Erkrankung	заболевание
Puder	пудра
begründen	обосновывать
primär	первичный, основной
geisteskrank	душевнобольной, сумасшедший
fiktiv	вымышленный, фиктивный
befestigen	закреплять, прикреплять
Parfüm	духи, парфюм
After	анус
beleuchten	освещать
öfters	почаще, довольно часто
Shooting	фотосессия
ranken	виться, обвиваться
Pflege	уход, забота
Nagellack	лак для ногтей
rar	редкий
vorletzte	предпоследний
verknüpfen	связывать, соединять
Jahrtausend	тысячелетие
Wohlstand	благосостояние, достаток
Lebensqualität	качество жизни
vertiefen	углублять
Stückchen	кусочек
jährlich	ежегодный, ежегодно
durchsichtig	прозрачный
verheiratet	женатый, замужем
Ordner	папка, организатор
Hersteller	производитель
Schwangerschaft	беременность
Einnahme	доход, выручка, приём (лекарства)
Wandel	перемена, изменение
spaßig	забавный, весёлый
Pilates	пилатес
eingeben	вводить, вводить (данные)
Weide	ива, пастбище
quer	поперёк, наискось
ausstrahlen	излучать, испускать
Übergang	переход
logischerweise	логически, по логике
Mülleimer	мусорное ведро
getrauen	осмеливаться, решаться
bodenlos	бездонный, беспредельный
spalten	раскалывать, расщеплять
fertigen	изготавливать, производить
Bindung	привязанность, связь
eintragen	вносить, записывать
wasserfest	водостойкий
andersrum	наоборот, в другую сторону
autoritär	авторитарный
Vers	стих, строка
Stativ	штатив
Bund	союз, федерация
Zopf	коса
nichtsdestotrotz	тем не менее
Unsicherheit	неуверенность, неопределённость
Ausblick	вид, перспектива
pushen	продвигать, поддерживать
erheblich	значительный
Vordergrund	передний план
vorherig	предыдущий, прежний
bedingen	обусловливать
eineinhalb	полтора
nachvollziehbar	понятный, объяснимый
Aufwand	затраты, расходы, усилия
Anwendung	применение, приложение
Adventskalender	адвент-календарь
vereinfachen	упрощать
privilegiert	привилегированный
vorankommen	продвигаться вперёд
abbauen	демонтировать, сокращать, добывать
handwerklich	ремесленный, кустарный
zusammensetzen	собирать, состоять из
ausschauen	выглядеть, высматривать
glänzen	блестеть, сиять
nachlesen	перечитать, посмотреть (в книге)
konsequent	последовательный
solide	солидный, прочный
Speicher	накопитель, память, склад
Stecker	штекер, вилка
gotisch	готический
Fassung	редакция, версия, самообладание
klatschen	хлопать, аплодировать
Playlist	плейлист
verschicken	рассылать, отправлять
gießen	лить, поливать
Teilchen	частица
gesundheitlich	связанный со здоровьем
Kartenspiel	карточная игра
riesengroß	огромный
Zutat	ингредиент
Abgeordneter	депутат
pennen	дрыхнуть, спать
entfalten	развёртывать, раскрывать
legitim	законный, легитимный
Unwissenheit	невежество, незнание
Drang	порыв, стремление
anmerken	заметить, отметить
Agentur	агентство
Zusammenfassung	краткое изложение, резюме
Rückseite	обратная сторона
